Food Item,Category,Diet Type,State,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Key Nutrients
Patanjali Cow Ghee,Staples,Veg,Uncooked,15g,135,0,0,15,0,Saturated Fat
Patanjali Honey,Staples,Veg,Ready to Eat,20g,64,0,17,0,0,Sugar
Patisa (Soan Papdi),Sweet,Veg,Cooked,2 pieces,280,3,38,12,1,Flaky Sweet
Pav Bhaji,Snack,Veg,Cooked,1 serving,450,10,60,20,8,Butter Veg
Paya Soup,Soup,Non-Veg,Cooked,1 bowl,240,18,8,14,0.5,"Bone Broth, Collagen"
Peach,Fruits,Veg,Uncooked,1 medium,59,1.4,14,0.4,2.3,Vit A
Peanut Chutney,Side,Veg,Uncooked,1 tbsp,60,2,3,5,1,Nutty
Peanut Masala,Snack,Veg,Uncooked,1 serving,200,9,8,15,3,Chakhna
Peanuts,Nuts,Veg,Uncooked,100g,567,26,16,49,9,Protein
Pear,Fruits,Veg,Uncooked,1 medium,101,0.6,27,0.3,5.5,Fiber
Peas Pulao,Rice,Veg,Cooked,1 plate (250g),320,8,58,7,4,"Fiber, Carbs"
Peda,Sweet,Veg,Cooked,1 piece,100,3,15,4,0,Khoya
Pepsi,Beverage,Veg,Ready to Eat,250ml,108,0,28,0,0,Sugar
Pepsi Black,Beverage,Veg,Ready to Eat,250ml,0,0,0,0,0,Caffeine
Perk,Sweets,Veg,Ready to Eat,20g,90,1,13,4,0,Wafer
Pesarattu,Breakfast,Veg,Cooked,1 medium,220,10,35,6,4,Moong Dal
Petha (Dry),Sweet,Veg,Cooked,2 pieces,120,0.5,30,0.2,1,Ash Gourd
Phirni,Sweet,Veg,Cooked,1 bowl,280,5,40,10,1,Ground Rice
Phulka/Roti,Breads,Veg,Cooked,1 piece,80,2.5,15,0.5,1.5,Whole Wheat
Pilsbury Atta,Staples,Veg,Uncooked,100g,365,11,73,1.8,10,Wheat
Pindi Chole,Main Course,Veg,Cooked,1 bowl (200g),340,14,42,12,10,"Dark, Spicy"
Pineapple,Fruits,Veg,Uncooked,1 cup,82,0.9,21,0.2,2.3,Bromelain
Pintola Peanut Butter Crunchy,Health,Vegan,Ready to Eat,32g,204,10,6,16,2,Healthy Fats
Pistachios,Nuts,Veg,Uncooked,10 pcs,40,1.5,2,3,1,Vit B6
Pithla,Main,Veg,Cooked,1 serving,180,8,15,8,4,Besan Curry
Plain Dosa,Breakfast,Veg,Cooked,1 medium,160,4,28,4,1,Crispy
Plain Naan,Breads,Veg,Cooked,1 piece,200,6,35,3,1,Soft
Plain Rice (Steamed),Rice,Veg,Cooked,1 bowl,130,2.5,28,0.3,0.4,Staple
Plain Roti (Wheat),Bread,Veg,Cooked,1 medium (40g),120,3.5,22,1.5,3,"Complex Carbs, Iron"
Plum,Fruits,Veg,Uncooked,1 medium,30,0.5,8,0.2,0.9,Antioxidants
Poha,Breakfast,Veg,Cooked,1 plate (150g),250,5,45,7,3,"Iron, Carbohydrates"
Poha (Flattened Rice),Grains,Veg,Raw,100g,346,6.6,77,1.2,0.7,Iron
Pomegranate,Fruits,Veg,Uncooked,1 medium,234,4.7,52,3.3,11,Antioxidants
Pongal (Sweet),Rice,Veg,Cooked,1 bowl,350,4,60,12,2,Jaggery
Pongal (Ven Pongal),Breakfast,Veg,Cooked,1 bowl (200g),320,10,48,11,4.5,"Comfort Carbs, Pepper"
Pongal (Ven),Rice,Veg,Cooked,1 bowl,280,8,35,12,3,Ghee
Poori,Bread,Veg,Cooked,2 pieces (60g),300,4,34,16,1.5,Fried Wheat
Poriyal (Beans),Main,Veg,Cooked,1 serving,120,3,12,6,4,South Indian
Poriyal (Beans/Carrot),Side,Veg,Cooked,1 bowl (100g),140,3,12,8,4,"Coconut, Fiber"
Pork Vindaloo,Main,Non-Veg,Cooked,1 serving,450,20,10,35,1,Goan Spicy
Potato,Vegetables,Veg,Raw,1 medium,110,3,26,0.1,2,Potassium
Prawn Biryani,Rice,Non-Veg,Cooked,1 serving,380,18,45,14,2,Seafood
Prawn Curry,Main,Non-Veg,Cooked,1 serving,280,20,8,18,1,Seafood
Prawn Fry,Snack,Non-Veg,Cooked,1 serving,220,18,5,14,0,Starter
Prawn Masala,Main Course,Non-Veg,Cooked,1 bowl (150g),280,22,8,16,1.5,"Protein, Iodine"
Pringles Original,Snacks,Veg,Ready to Eat,30g,155,1,15,10,1,Sodium
Pringles Sour Cream,Snacks,Veg,Ready to Eat,30g,155,1,15,10,1,Sodium
Proso Millet,Grains,Veg,Raw,100g,341,12,70,1,1,Protein
Protinex Powder,Health,Veg,Uncooked,30g,110,10,15,1,0,Growth
Pumpkin (Kaddu),Vegetables,Veg,Raw,100g,26,1,6.5,0.1,0.5,Vitamin A
Pumpkin Sabzi (Kaddu),Side,Veg,Cooked,1 bowl (150g),150,2,22,6,4,"Vitamin A, Potassium"
Pumpkin Seeds,Seeds,Veg,Uncooked,1 tbsp,50,3,1.5,4,0.5,Zinc
Puran Poli,Breads,Veg,Cooked,1 piece,290,6,50,8,4,Sweet Stuffed
Puran Poli (Sweet),Sweet,Veg,Cooked,1 piece,290,6,50,8,4,Lentil Sweet
Puri,Breads,Veg,Cooked,1 piece,140,3,15,8,0.5,Deep Fried
Puttu,Breakfast,Veg,Cooked,1 serving,250,5,45,6,3,Steamed Rice
Pyaz Paratha (Onion),Breads,Veg,Cooked,1 piece,240,5,34,10,3,Taste
Quaker Oats,Staples,Veg,Uncooked,100g,389,16,66,7,10,Beta-Glucan
Qubani Ka Meetha,Sweet,Veg,Cooked,1 bowl,280,2,65,1,3,Apricot Dessert
Quinoa,Grains,Veg,Raw,100g,368,14,64,6,7,Complete Protein
Rabri,Sweet,Veg,Cooked,1 bowl,350,8,30,20,0,Thick Milk
Radish (Mooli),Vegetables,Veg,Uncooked,1 medium,18,0.8,4,0.1,1.9,Vitamin C
Ragda Pattice,Snack,Veg,Cooked,1 serving,350,10,50,12,6,Peas Curry
Ragi (Finger Millet),Grains,Veg,Raw,100g,328,7,72,1.3,11,Calcium
Ragi Mudde,Main Course,Veg,Cooked,1 ball,240,6,48,2,4,"Calcium, Iron"
Ragi Roti,Breads,Veg,Cooked,1 piece,130,3,25,2,4,Calcium Rich
Raisins,Nuts,Veg,Uncooked,10 pcs,15,0.1,4,0,0.2,Energy
Rajdhani Besan,Staples,Veg,Uncooked,100g,380,21,60,6,10,Magnesium
Rajdhani Maida,Staples,Veg,Uncooked,100g,360,10,75,1,3,Refined
Rajdhani Poha,Staples,Veg,Uncooked,100g,350,7,77,1,1,Rice Flakes
Rajdhani Sooji,Staples,Veg,Uncooked,100g,360,10,72,1,3,Semolina
Rajma (Chitra),Pulses,Veg,Raw,100g,335,23,61,1,24,Potassium
Rajma (Red Kidney Beans),Pulses,Veg,Raw,100g,333,24,60,0.8,25,Potassium
Rajma Chawal,Main Course,Veg,Cooked,1 plate (350g),410,14,75,6,12,"Potassium, Magnesium"
Rajma Masala,Main,Veg,Cooked,1 bowl,260,11,32,9,9,Kidney Beans
Rasam,Main,Veg,Cooked,1 cup,40,1,8,1,1,Digestion
Rasgulla,Sweet,Veg,Cooked,2 pieces,250,6,50,1,0,Cottage Cheese
Rasmalai,Sweet,Veg,Cooked,1 piece,180,6,20,8,0,Milk
Rasna Powder,Beverage Mix,Veg,Uncooked,5g,18,0,4.5,0,0,Sugar
Rava Dosa,Breakfast,Veg,Cooked,1 medium,220,4,35,8,1,Lacy
Rava Idli,Breakfast,Veg,Cooked,2 pieces,160,5,28,4,1,Semolina
Raw Banana,Vegetables,Veg,Raw,100g,89,1.1,23,0.3,2.6,Potassium
Raw Banana Curry,Side,Veg,Cooked,1 bowl (150g),230,3,38,7,5,"Iron, Resistant Starch"
Raw Mango (Kairi),Vegetables,Veg,Uncooked,100g,60,0.8,15,0.4,1.6,Vitamin C
Raw Pressery Almond Milk,Beverage,Vegan,Ready to Eat,200ml,60,2,4,4,1,Almond
Raw Pressery Coconut Water,Beverage,Veg,Ready to Eat,200ml,38,0,9,0,0,Electrolytes
Real Fruit Juice Apple,Beverage,Veg,Ready to Eat,200ml,115,0,29,0,0,Vitamin C
Real Fruit Juice Mixed,Beverage,Veg,Ready to Eat,200ml,112,0,28,0,0,Vitamin C
Real Fruit Juice Orange,Beverage,Veg,Ready to Eat,200ml,110,0,28,0,0,Vitamin C
Red Bull,Beverage,Veg,Ready to Eat,250ml,110,0,28,0,0,Taurine
Red Bull Sugar Free,Beverage,Veg,Ready to Eat,250ml,10,0,0,0,0,Caffeine
Red Label Tea,Beverage Mix,Veg,Uncooked,2g,0,0,0,0,0,Caffeine
Red Rice,Grains,Veg,Raw,100g,355,7,75,2.5,4,Antioxidants
Reshmi Kebab,Snack,Non-Veg,Cooked,4 pieces,280,24,6,18,0.5,"Creamy, Mild"
Rice Kheer,Sweet,Veg,Cooked,1 bowl,250,6,35,9,1,Pudding
Rice Vermicelli,Grains,Veg,Raw,100g,360,6,80,0.5,1,Gluten Free
Ridge Gourd (Turai),Vegetables,Veg,Raw,100g,20,0.7,4,0.2,0.5,Fiber
Roasted Chana,Snack,Veg,Cooked,1 serving,180,10,25,3,8,Healthy
Rooh Afza,Beverage Mix,Veg,Uncooked,30ml,120,0,30,0,0,Sugar
Roohafza,Beverage,Veg,Uncooked,1 glass,140,0,35,0,0,Rose
Roomali Roti,Breads,Veg,Cooked,1 piece,190,5,36,4,1,Soft
Rumali Roti,Breads,Veg,Cooked,1 piece,180,5,35,3,1,Thin
Rusk,Snack,Veg,Cooked,1 piece,40,1,7,1,0,Toast
Sabudana (Tapioca Pearls),Grains,Veg,Raw,100g,358,0.2,87,0.2,0.9,Instant Energy
Sabudana Kheer,Sweet,Veg,Cooked,1 bowl,300,2,50,10,1,Sago
Sabudana Khichdi,Breakfast,Veg,Cooked,1 bowl (150g),380,4,65,12,2,High Carb Energy
Sabudana Vada,Snack,Veg,Cooked,2 pieces,350,3,40,20,2,Fasting
Saffola Gold Oil,Staples,Veg,Uncooked,15g,135,0,0,15,0,Muft
Saffola Honey,Staples,Veg,Ready to Eat,20g,64,0,17,0,0,Sugar
Saffola Masala Oats,Instant Food,Veg,Uncooked,40g,150,3,28,3,2,Fiber
Saffola Oats,Staples,Veg,Uncooked,100g,390,13,65,7,10,Oats
Sambar,Main,Veg,Cooked,1 bowl,120,6,15,4,4,Veggies
Samosa,Snack,Veg,Cooked,1 piece,260,4,24,17,2,Fried
Sandesh,Sweet,Veg,Cooked,2 pieces,140,6,20,4,0,Bengali
Saoji Mutton,Main Course,Non-Veg,Cooked,1 bowl (200g),480,30,6,38,1.5,Nagpur Heat
Sarson Ka Saag,Main,Veg,Cooked,1 serving,200,6,12,15,6,Mustard Greens
Sattu Drink,Beverage,Veg,Uncooked,1 glass,150,8,25,2,4,Protein
Sattu Paratha,Breads,Veg,Cooked,1 piece,270,9,35,10,5,Protein
Sattu Sharbat,Beverage,Veg,Cooked,1 glass,180,10,28,2,4,Cooling Protein
Schezwan Momos,Snack,Veg,Cooked,1 plate (6pcs),280,6,42,10,2,Spicy
Schezwan Noodles,Main Course,Veg,Cooked,1 plate,400,8,58,15,3,Spicy
Schezwan Rice,Rice,Veg,Cooked,1 bowl,240,4,38,9,2,Spicy
Schweppes Tonic Water,Beverage,Veg,Ready to Eat,200ml,70,0,18,0,0,Quinine
Seekh Kebab (Chicken),Snack,Non-Veg,Cooked,1 serving,200,22,5,10,1,Grilled
Seekh Kebab (Mutton),Snack,Non-Veg,Cooked,1 serving,280,18,5,20,1,Grilled
Semiya Upma,Breakfast,Veg,Cooked,1 bowl,210,4,34,7,1,Vermicelli
Sesame Oil,Fats,Veg,Raw,1 tbsp,120,0,0,14,0,Antioxidants
Sesame Seeds,Seeds,Veg,Uncooked,1 tbsp,52,1.6,2,4.5,1,Calcium
Set Dosa,Breakfast,Veg,Cooked,3 small pcs,300,7,50,8,2,Soft
Sev Puri,Snack,Veg,Uncooked,1 serving,300,5,40,15,3,Flat Puris
Seviyan (Vermicelli),Sweet,Veg,Cooked,1 bowl (150g),260,6,44,7,1,"Carbs, Milk"
Seviyan Kheer,Sweet,Veg,Cooked,1 bowl,220,5,32,8,1,Vermicelli
Shahi Paneer,Main,Veg,Cooked,1 serving,350,12,18,25,2,Creamy
Shahi Tukda,Sweet,Veg,Cooked,1 serving,350,6,45,18,1,Fried Bread
Shami Kebab,Snack,Non-Veg,Cooked,2 pcs,280,16,12,18,3,Lentil Meat
Sheermal,Breads,Veg,Cooked,1 piece,350,8,45,15,1,Saffron Sweet
Shimla Mirch Aloo,Side,Veg,Cooked,1 bowl (150g),210,3,26,9,4,"Vitamin C, Carbs"
Shrikhand,Sweet,Veg,Cooked,1 bowl,280,6,40,10,0,Yogurt
Sindhi Kadhi,Main,Veg,Cooked,1 bowl,180,4,25,8,4,Vegetables
Singhare Ki Sabzi,Side,Veg,Cooked,1 bowl (150g),210,3,32,8,4,Fasting Food
Sleepy Owl Cold Brew,Beverage Mix,Veg,Uncooked,1Bag,5,0,1,0,0,Caffeine
Slice,Beverage,Veg,Ready to Eat,200ml,125,0,31,0,0,Mango Pulp
Smith & Jones Pasta Masala,Instant Food,Veg,Uncooked,70g,250,8,45,2,2,Durum Wheat
Snake Gourd,Vegetables,Veg,Raw,100g,18,0.7,3.3,0.3,0.8,Cooling
Snickers,Sweets,Non-Veg,Ready to Eat,45g,220,4,27,11,1,Peanuts
Soan Papdi,Sweet,Veg,Cooked,1 piece,180,2,28,8,0,Flaky
Society Tea,Beverage Mix,Veg,Uncooked,2g,0,0,0,0,0,Caffeine
Sofit Soya Milk,Beverage,Vegan,Ready to Eat,200ml,100,6,12,3,1,Soya
Sol Kadhi,Beverage,Veg,Uncooked,1 glass,60,1,8,3,0,Kokum Coconut
Sona Masuri Rice,Grains,Veg,Raw,100g,350,7.5,77,0.5,2,Carbs
Sooji Halwa,Sweet,Veg,Cooked,1 bowl (150g),380,6,58,14,1,Quick Energy
Soulfull Ragi Bites,Breakfast,Veg,Ready to Eat,30g,115,2,24,1,2,Calcium
Soya Chunks Pulao,Rice,Veg,Cooked,1 plate (250g),360,18,55,8,6,"Protein, Carbs"
Soyabean Curry,Main Course,Veg,Cooked,1 bowl (200g),280,22,18,12,8,High Protein Veg
Soybean,Pulses,Veg,Raw,100g,446,36,30,20,9,High Protein
Soybean Curry,Main,Veg,Cooked,1 serving,240,15,15,12,6,High Protein
Spinach (Palak),Vegetables,Veg,Raw,100g,23,2.9,3.6,0.4,2.2,"Iron, Vit K"
Spring Onion,Vegetables,Veg,Uncooked,100g,32,1.8,7.3,0.2,2.6,Sulfur
Spring Roll,Snack,Veg,Cooked,2 pieces,240,4,25,14,2,Chinese
Sprite,Beverage,Veg,Ready to Eat,250ml,115,0,29,0,0,Sugar
Sprout Curry,Main,Veg,Cooked,1 bowl,150,10,20,3,6,Nutritious
Sprouts Salad,Salad,Veg,Cooked,1 bowl (100g),120,9,22,1,6,"Vitamin C, Fiber"
Staeta Soya Milk,Beverage,Vegan,Ready to Eat,200ml,105,7,11,3,1,Soya
Star Fruit,Fruits,Veg,Uncooked,100g,31,1,6.7,0.3,2.8,Vit C
Sting Energy Drink,Beverage,Veg,Ready to Eat,250ml,70,0,18,0,0,Caffeine
Strawberry,Fruits,Veg,Uncooked,100g,32,0.7,7.7,0.3,2,Vit C
Sugar Paratha (Cheeni),Breads,Veg,Cooked,1 piece,280,4,45,9,1,Quick Energy
Sugarcane Juice,Beverage,Veg,Uncooked,1 glass,180,0,45,0,0,Energy
Suji (Semolina),Grains,Veg,Raw,100g,360,10,73,1,3,Energy
Suji Halwa (Sheera),Sweet,Veg,Cooked,1 bowl,300,4,45,12,1,Semolina
Sundrop Oil,Staples,Veg,Uncooked,15g,135,0,0,15,0,Vitamin E
Sunfeast Dark Fantasy,Snacks,Veg,Ready to Eat,25g,125,1,16,6,1,Choco
Sunfeast Dark Fantasy Milkshake,Beverage,Veg,Ready to Eat,200ml,180,6,26,7,0,Chocolate
Sunfeast Mom's Magic,Snacks,Veg,Ready to Eat,50g,240,3,32,11,1,Cashew
Sunfeast Yippee Mood Masala,Instant Food,Veg,Uncooked,60g,285,6,41,10,2,Spices
Sunflower Seeds,Seeds,Veg,Uncooked,1 tbsp,50,2,2,4.5,1,Vit E
Sweet Corn Soup,Soup,Veg,Cooked,1 bowl,120,3,24,1,2,Light Starter
Sweet Potato,Vegetables,Veg,Raw,100g,86,1.6,20,0.1,3,Vitamin A
Taj Mahal Tea,Beverage Mix,Veg,Uncooked,2g,0,0,0,0,0,Caffeine
Tamarind Chutney,Side,Veg,Cooked,1 tbsp,40,0,10,0,0,Sweet Sour
Tamarind Rice,Rice,Veg,Cooked,1 plate (200g),330,6,56,11,3,"Iron, Tangy Taste"
Tamarind Rice (Puliyogare),Rice,Veg,Cooked,1 bowl,200,4,35,6,2,Tangy
Tandoori Chicken,Main Course,Non-Veg,Cooked,1 leg piece (100g),260,30.5,4.2,13,1.2,"Vitamin B6, Selenium"
Tandoori Momos (Chicken),Snack,Non-Veg,Cooked,1 plate (6pcs),380,18,30,20,1,Spicy
Tandoori Momos (Veg),Snack,Veg,Cooked,1 plate (6pcs),320,8,35,16,2,Smoky
Tandoori Roti,Breads,Veg,Cooked,1 piece,110,3,22,0.5,2,Clay Oven
Tang Lemon,Beverage Mix,Veg,Uncooked,20g,75,0,18,0,0,Vitamin C
Tang Orange,Beverage Mix,Veg,Uncooked,20g,75,0,18,0,0,Vitamin C
Tangdi Kebab,Snack,Non-Veg,Cooked,2 legs,340,32,2,22,0.5,Chicken Legs
Tata Coffee Grand,Beverage Mix,Veg,Uncooked,2g,5,0.5,1,0,0,Caffeine
Tata Sampann Chana Dal,Staples,Veg,Uncooked,100g,370,20,60,5,10,Protein
Tata Sampann Kabuli Chana,Staples,Veg,Uncooked,100g,360,20,60,5,12,Protein
Tata Sampann Masoor Dal,Staples,Veg,Uncooked,100g,345,25,59,1,8,Protein
Tata Sampann Moong Dal,Staples,Veg,Uncooked,100g,348,24,60,1.2,8,Potassium
Tata Sampann Poha,Staples,Veg,Uncooked,100g,350,7,77,1,1,Rice Flakes
Tata Sampann Rajma,Staples,Veg,Uncooked,100g,340,22,60,1.5,15,Protein
Tata Sampann Toor Dal,Staples,Veg,Uncooked,100g,335,22,60,1.5,15,Protein
Tata Sampann Urad Dal,Staples,Veg,Uncooked,100g,350,24,60,1.5,10,Protein
Tata Tea Gold,Beverage Mix,Veg,Uncooked,2g,0,0,0,0,0,Caffeine
Tawa Paratha (Plain),Breads,Veg,Cooked,1 piece,180,3,22,9,2,Energy
Tawa Pulao,Rice,Veg,Cooked,1 bowl,220,4,35,8,3,Spicy
Tetley Green Tea,Beverage Mix,Veg,Uncooked,1Bag,0,0,0,0,0,Antioxidants
Thalipeeth,Breads,Veg,Cooked,1 piece,200,6,28,8,4,Multigrain
Thandai,Beverage,Veg,Uncooked,1 glass,280,6,35,12,2,Festive
Thekua,Sweet,Veg,Cooked,1 piece,180,2,28,8,1,Wheat Cookie
Thepla (Methi),Breads,Veg,Cooked,1 piece,160,4,20,8,2,Travel Food
Thukpa (Veg),Snack,Veg,Cooked,1 bowl,220,8,35,6,4,Noodle Soup
Thums Up,Beverage,Veg,Ready to Eat,250ml,100,0,25,0,0,Sugar
Til Laddu,Sweet,Veg,Cooked,1 piece,160,4,15,10,2,Sesame
Tinda Masala,Side,Veg,Cooked,1 bowl (150g),140,3,12,8,4,"Light, Water Content"
Tindora Fry,Main,Veg,Cooked,1 serving,160,2,14,10,3,Ivy Gourd
Toddy (Palm Wine),Beverage,Veg,Uncooked,1 glass,110,1,15,0,0,Fermented
Tomato,Vegetables,Veg,Uncooked,1 medium,22,1,4.8,0.2,1.5,Lycopene
Tomato Chutney,Side,Veg,Cooked,1 tbsp,25,0.5,4,1,0.5,Tangy
Tomato Rice,Rice,Veg,Cooked,1 bowl,190,3,33,5,1.5,Lycopene
Tomato Soup,Soup,Veg,Cooked,1 bowl,110,2,18,3,1.5,Lycopene
Too Yumm Fox Nuts,Snacks,Veg,Ready to Eat,30g,130,3,18,5,2,Makhana
Too Yumm Veggie Sticks,Snacks,Veg,Ready to Eat,30g,140,2,20,5,2,Baked
Toor Dal (Pigeon Pea),Pulses,Veg,Raw,100g,343,22,63,1.5,15,Protein
Top Ramen Atta Noodles,Instant Food,Veg,Uncooked,70g,280,8,40,10,4,Wheat
Top Ramen Curry,Instant Food,Veg,Uncooked,70g,310,7,43,12,2,Wheat
Torai (Ridge Gourd),Side,Veg,Cooked,1 bowl (150g),120,2,10,7,3.5,"Easy Digest, Zinc"
Tropicana Delight Apple,Beverage,Veg,Ready to Eat,200ml,105,0,26,0,0,Vitamin C
Tropicana Delight Orange,Beverage,Veg,Ready to Eat,200ml,100,0,25,0,0,Vitamin C
True Elements Muesli,Breakfast,Veg,Ready to Eat,50g,200,6,35,5,4,Cranberry
True Elements Oatmeal,Breakfast,Veg,Uncooked,50g,190,6,32,5,5,Seeds
Turmeric Milk,Beverage,Veg,Cooked,1 cup,140,7,12,6,0,Immunity
Turnip (Shalgam),Vegetables,Veg,Raw,100g,28,0.9,6.4,0.1,1.8,Vitamin C
Twinings Earl Grey,Beverage Mix,Veg,Uncooked,1Bag,0,0,0,0,0,Bergamot
Typhoo Green Tea,Beverage Mix,Veg,Uncooked,1Bag,0,0,0,0,0,Antioxidants
Undhiyu,Main,Veg,Cooked,1 serving,350,8,35,20,7,Gujarati Special
Upma,Breakfast,Veg,Cooked,1 bowl,220,5,35,7,2,Semolina
Urad Dal (Kali Dal),Dal,Veg,Cooked,1 bowl (150g),260,13,32,9,8,"Fiber, Magnesium"
Urad Dal (White Split),Pulses,Veg,Raw,100g,350,24,59,1.4,12,Protein
Urad Whole (Black),Pulses,Veg,Raw,100g,341,25,59,1.6,18,Magnesium
Urban Platter Oat Milk,Beverage,Vegan,Ready to Eat,200ml,90,2,14,3,2,Oats
Uttapam (Plain),Breakfast,Veg,Cooked,1 medium,200,5,35,5,2,Thick Pancake
Uttapam (Veg),Breakfast,Veg,Cooked,1 medium,260,7,42,8,4,"Fermented, Veggies"
Vada Pav,Snack,Veg,Cooked,1 piece,300,8,40,12,4,Mumbai Burger
Vadilal Cone,Ice Cream,Veg,Ready to Eat,60g,170,3,20,9,0,Sugar
Val Dal (Field Beans),Pulses,Veg,Raw,100g,345,23,60,1.5,17,Iron
Vangi Bath,Rice,Veg,Cooked,1 bowl,250,4,40,9,3,Brinjal
Veeba Chipotle Dressing,Staples,Veg,Ready to Eat,15g,50,0,4,4,0,Spices
Veeba Pasta Sauce,Staples,Veg,Ready to Eat,50g,45,1,9,1,1,Tomato
Veeba Tandoori Mayo,Staples,Veg,Ready to Eat,15g,70,0,2,7,0,Fats
Veg Biryani,Rice,Veg,Cooked,1 serving,300,6,45,10,3,Spices
Veg Cutlet,Snack,Veg,Cooked,2 pieces,220,5,25,12,3,Railways
Veg Fried Momos,Snack,Veg,Cooked,1 plate (6pcs),350,6,40,18,2,Fried
Veg Kolhapuri,Main,Veg,Cooked,1 serving,260,6,22,16,5,Very Spicy
Veg Manchurian (Gravy),Main Course,Veg,Cooked,1 bowl (200g),320,6,42,14,4,Indo-Chinese
Veg Noodles (Chowmein),Snack,Veg,Cooked,1 plate (250g),380,9,62,12,4,"Carbs, Oil"
Veg Puff,Snack,Veg,Cooked,1 piece,250,4,25,15,2,Flaky
Veg Pulao,Rice,Veg,Cooked,1 plate (250g),340,7,60,8,3.5,"Carbs, Vitamins"
Veg Roll (Frankie),Snack,Veg,Cooked,1 roll,300,8,40,12,3,Wrap
Veg Steamed Momos,Snack,Veg,Cooked,1 plate (6pcs),210,6,40,2,2,Steam
Vermicelli (Semolina),Grains,Veg,Raw,100g,350,10,74,1,2,Carbs
Wagh Bakri Tea,Beverage Mix,Veg,Uncooked,2g,0,0,0,0,0,Caffeine
Walnuts,Nuts,Veg,Uncooked,2 whole,50,2,2,5,1,Omega 3
Watermelon,Fruits,Veg,Uncooked,1 cup,46,0.9,11,0.2,0.6,Lycopene
Watermelon Seeds,Seeds,Veg,Uncooked,1 tbsp,45,2.5,1,4,0.5,Magnesium
Wheat Flour (Atta),Grains,Veg,Raw,100g,364,10.3,76,1,2.7,"B Vitamins, Iron"
Wheat Momos (Veg),Snack,Veg,Cooked,1 plate (6pcs),200,7,38,2,4,Healthier
White Peas (Matar),Pulses,Veg,Raw,100g,340,20,60,1.5,18,Street Food Base
White Peas (Matra),Side,Veg,Cooked,1 bowl (150g),240,12,40,5,9,Kulcha Side
Wood Apple (Bael),Fruits,Veg,Uncooked,100g,134,1.8,31,0.3,2.9,Gut Health
Yakult,Dairy,Veg,Ready to Eat,65ml,50,0.8,11,0,0,Probiotics
Yippee Magic Masala,Instant Food,Veg,Uncooked,60g,280,6,40,10,2,Calcium
Yoga Bar Dark Chocolate Oats,Breakfast,Veg,Uncooked,50g,210,6,35,5,4,Fiber
Yoga Bar Muesli Fruits,Breakfast,Veg,Ready to Eat,50g,200,5,36,4,4,Seeds
Zucchini,Vegetables,Veg,Raw,100g,17,1.2,3.1,0.3,1,Low Cal
Harvest Gold Multigrain Bread,Bakery,Veg,Solid,2 slices (50g),135,5,24,1.8,3.5,B Vitamins & Iron
Harvest Gold White Bread,Bakery,Veg,Solid,2 slices (50g),120,3.8,25,1,1.2,Carbohydrates
Lays Magic Masala Chips,Snacks,Veg,Solid,30g,163,2.1,15.6,10.2,1,Sodium
Amul Pasteurised Butter,Dairy,Veg,Solid,10g,72,0.1,0,8.1,0,Vitamin A
Amul Paneer (Fresh),Dairy,Veg,Solid,100g,289,20,2,22,0,Calcium & Protein
Maggi Masala Noodles,Instant Food,Veg,Solid,70g (1 pack),310,8,46,11,2,Iron
Mother Dairy Full Cream Milk,Dairy,Veg,Liquid,250ml,150,8,12,8.5,0,Calcium & B12
Parle-G Biscuits,Biscuits,Veg,Solid,4 biscuits (20g),90,1.2,16,2.5,0.2,Glucose & Wheat
Haldiram's Bhujia Sev,Snacks,Veg,Solid,30g,175,4,10,13,1.5,Protein & Fats
Patanjali Peanut Butter,Spreads,Veg,Semi-Solid,32g (2 tbsp),190,8,6,16,2,Protein & Healthy Fats
Tata Salt (Lite),Seasoning,Veg,Solid,1g,0,0,0,0,0,Sodium & Potassium
MTR Ready-to-Eat Paneer Butter Masala,Meal,Veg,Semi-Solid,150g,240,9,12,17,1.5,Protein
Amul Mithai Mate (Condensed Milk),Dairy,Veg,Liquid,100g,335,8,55.5,9,0,Sugar & Calcium
